schedule_season,schedule_week,home_id,score_home,score_away,away_id,favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,winner,cover,over
2000,10,26,31,15,1,26,-5.5,48,72,0,26,1,0
2000,10,27,17,15,9,27,-4.5,39.5,47,11,27,0,0
2000,10,30,9,7,28,30,-8,36.5,54,8,30,0,0
2000,10,20,26,20,31,31,-3.5,47.5,49,17,20,0,0
2000,11,1,21,7,10,10,-3.5,52,48,8,1,0,0
2000,11,4,20,3,2,4,-7,39.5,39,11,4,1,0
2000,11,6,19,11,22,22,-7,32,43,10,6,0,0
2000,11,7,20,15,20,7,-9,42,64,5,7,0,0
2000,11,9,7,17,13,13,-5,33.5,54,7,13,1,0
2000,11,11,23,15,18,11,-6,52.5,72,0,11,1,0
2000,11,12,23,6,3,12,-8.5,39,48,12,12,1,0
2000,11,16,24,38,24,24,-2,48.5,50,15,24,1,1
2000,11,17,21,28,27,17,-7.5,40.5,62,5,27,0,1
2000,11,19,13,10,15,19,-8.5,40,72,0,19,0,0
2000,11,21,10,20,26,26,-2,37.5,50,5,26,1,0
2000,11,28,23,26,14,28,-3.5,33,41,8,14,0,1
2000,11,30,23,24,25,30,-4,33,46,4,25,0,1
2000,11,31,31,14,8,31,-12.5,46,72,0,31,1,0
2000,11,5,27,24,23,5,-3,50,14,11,5,0,1
2000,12,1,16,6,15,1,-5.5,47.5,51,6,1,1,0
2000,12,2,13,10,7,7,-8,36,30,13,2,0,0
2000,12,5,38,37,9,5,-9.5,42.5,28,11,5,0,1
2000,12,10,17,21,4,10,-3,42,36,16,4,0,0
2000,12,13,3,20,18,13,-3.5,38.5,78,9,18,0,0
2000,12,14,34,9,8,14,-7,38,38,9,14,1,1
2000,12,16,21,31,19,16,-5,36.5,40,11,19,0,1
2000,12,20,26,24,11,11,-6,46,26,10,20,0,1
2000,12,22,16,13,3,22,-7,36,40,9,22,0,0
2000,12,25,27,0,12,25,-7,36,36,6,25,1,0
2000,12,26,22,31,23,23,-3,43,72,0,23,1,1
2000,12,28,24,34,17,28,-3,37,31,9,17,0,1
2000,12,30,24,10,6,30,-16,35.5,38,6,30,0,0
2000,12,31,31,17,21,31,-9.5,46.5,72,0,31,1,1
2000,12,24,20,33,32,24,-5.5,56,72,0,32,0,0
2000,13,12,15,27,31,31,-7,48,53,9,31,1,0
2000,13,19,34,9,22,19,-6.5,38,72,0,19,1,1
2000,13,3,28,48,28,28,-4,34,44,11,28,1,1
2000,13,7,31,17,4,7,-4,37,67,6,7,1,1
2000,13,8,7,31,16,16,-6,39,57,5,16,1,0
2000,13,9,17,16,10,10,-3,41,56,5,9,0,0
2000,13,11,14,17,13,11,-5.5,44.5,72,0,13,0,0
2000,13,17,16,13,30,30,-3,41.5,60,7,17,0,0
2000,13,18,17,10,2,18,-7,39.5,46,18,18,0,0
2000,13,23,41,14,15,23,-11,44,48,6,23,1,1
2000,13,24,24,31,26,24,-13.5,53.5,72,0,26,0,1
2000,13,25,44,7,6,25,-15,34,50,13,25,1,1
2000,13,27,31,38,5,5,-3,45.5,45,11,5,1,1
2000,13,32,20,23,14,32,-7,37,50,10,14,0,1
2000,13,21,31,14,20,0,0,44,47,6,21,0,1
2000,14,31,24,17,19,31,-9,48.5,72,0,31,0,0
2000,14,2,6,28,20,20,-2.5,39,30,8,20,1,0
2000,14,3,24,13,8,3,-4,38.5,28,15,3,1,0
2000,14,4,6,33,13,4,-3.5,36,21,6,13,0,1
2000,14,7,27,7,12,7,-10,37,59,9,7,1,0
2000,14,9,17,45,1,1,-2.5,44,54,6,1,1,1
2000,14,14,13,15,30,30,-3,36.5,28,11,30,0,0
2000,14,15,10,30,27,0,0,42,72,0,27,0,0
2000,14,17,48,0,6,17,-14.5,39,49,15,17,1,1
2000,14,18,27,17,11,18,-2.5,44,29,10,18,1,0
2000,14,21,16,3,24,24,-8,58,35,13,21,0,0
2000,14,26,23,38,5,0,0,45,72,0,5,0,1
2000,14,28,21,20,23,23,-3,42,23,8,28,0,0
2000,14,32,7,9,16,32,-6,38,29,14,16,0,0
2000,14,22,30,24,10,22,-1,41,34,10,22,1,1
2000,15,1,27,31,26,1,-3,47.5,54,8,26,0,1
2000,15,2,24,17,22,2,-2,36.5,31,10,2,1,1
2000,15,5,31,24,27,5,-10,48,28,13,5,0,1
2000,15,6,24,35,14,14,-14,35.5,29,10,14,0,1
2000,15,10,15,14,21,10,-2.5,42,34,14,10,0,0
2000,15,12,32,13,32,32,-6,39,54,12,12,0,1
2000,15,13,13,16,7,13,-2.5,34.5,73,12,7,0,0
2000,15,16,30,10,28,16,-3.5,35.5,32,9,16,1,1
2000,15,17,44,10,8,17,-15,42,56,8,17,1,1
2000,15,20,26,13,19,20,-3.5,41,24,11,20,1,0
2000,15,23,31,7,18,23,-3.5,47,54,6,23,1,0
2000,15,24,40,29,31,24,-3.5,56.5,72,0,24,1,1
2000,15,25,24,3,9,25,-13.5,36.5,31,4,25,1,0
2000,15,30,35,3,3,30,-13,36,46,7,30,1,1
2000,15,11,44,20,4,11,-6,45,72,0,11,1,1
2000,16,27,27,24,23,23,-6,47.5,42,16,27,0,1
2000,16,28,24,3,32,32,-1,37.5,37,9,28,0,0
2000,16,1,17,0,2,1,-6,45.5,53,6,1,1,0
2000,16,3,17,14,17,17,-10.5,42.5,22,21,3,0,0
2000,16,4,10,13,22,4,-4.5,39,40,22,22,0,0
2000,16,6,0,24,30,30,-16,37,34,22,30,1,0
2000,16,8,7,13,25,25,-15,37.5,55,4,25,0,0
2000,16,10,20,7,5,5,-3,47,5,17,10,0,0
2000,16,12,13,17,16,16,-6.5,36,32,10,16,0,0
2000,16,13,13,20,11,13,-3,42,77,8,11,0,0
2000,16,18,7,10,19,18,-6.5,39.5,54,19,19,0,0
2000,16,21,30,22,9,21,-8.5,38.5,47,16,21,0,1
2000,16,26,23,7,15,26,-10,41,72,0,26,1,0
2000,16,31,28,33,20,31,-7.5,49,72,0,20,0,1
2000,16,7,38,35,24,24,-1,49,47,9,7,0,1
2000,17,5,38,9,1,5,-7,48.5,34,11,5,1,0
2000,17,16,28,25,17,16,-4,37.5,22,20,16,0,1
2000,17,27,23,42,4,27,-3,42.5,44,10,4,0,1
2000,17,9,21,34,28,28,-3,37.5,53,5,28,1,1
2000,17,11,31,10,31,11,-3,53.5,72,0,11,1,0
2000,17,14,16,7,3,14,-10.5,35,26,8,14,0,0
2000,17,15,29,13,10,10,-4.5,40.5,72,0,15,0,1
2000,17,19,20,23,2,19,-10,37,72,0,2,0,1
2000,17,20,17,14,7,20,-2.5,38,6,12,20,1,0
2000,17,22,24,27,13,13,-4,35,26,12,13,0,1
2000,17,23,52,9,21,23,-9,45.5,50,6,23,1,1
2000,17,25,34,20,18,25,-6,35.5,24,3,25,1,1
2000,17,26,21,26,24,24,-3.5,56,72,0,24,1,0
2000,17,32,20,3,8,32,-7,38.5,28,9,32,1,0
2000,17,30,31,0,12,30,-13.5,37.5,20,10,30,1,0
2001,17,2,33,13,17,2,-6,33.5,32,12,2,1,1
2001,17,7,13,17,14,7,-3,33,62,11,14,0,0
2001,17,11,29,10,5,11,-2,51,72,0,11,1,0
2001,17,13,34,7,4,13,-6.5,36.5,70,13,13,1,1
2001,17,16,25,34,20,20,-3,36.5,38,10,20,1,1
2001,17,19,15,10,12,12,-3,36,72,0,19,0,0
2001,17,21,6,38,22,22,-6.5,36,35,6,22,1,1
2001,17,23,22,24,18,23,-4.5,41.5,54,6,18,0,1
2001,17,24,31,13,15,24,-14.5,48,72,0,24,1,0
2001,17,26,0,38,1,1,-2.5,46.5,72,0,1,1,0
2001,17,27,21,18,10,27,-3.5,40,46,10,27,0,0
2001,17,28,28,7,6,28,-7,34.5,32,6,28,1,1
2001,17,30,21,23,3,30,-5.5,37.5,38,9,3,0,1
2001,17,32,20,17,8,32,-3.5,36.5,35,9,32,0,1
2001,17,25,19,3,31,25,-10,37.5,35,10,25,1,0
2001,1,1,16,13,15,1,-3.5,46,62,12,1,0,0
2001,1,3,23,17,22,0,0,36,75,11,3,0,1
2001,1,4,6,24,26,26,-1.5,37.5,80,12,26,1,0
2001,1,6,6,9,27,27,-4,38.5,79,14,27,0,0
2001,1,9,30,3,32,9,-2.5,36.5,66,9,9,1,0
2001,1,10,24,27,23,23,-3,43,64,10,23,0,1
2001,1,12,6,10,7,7,-9,34,75,13,7,0,0
2001,1,14,17,20,24,24,-3,46,76,8,24,0,0
2001,1,17,21,3,28,17,-3,37.5,80,10,17,1,0
2001,1,18,24,45,11,11,-1.5,44.5,76,12,11,1,1
2001,1,20,28,6,19,20,-5.5,41.5,61,7,20,1,0
2001,1,25,17,6,2,25,-10.5,33.5,72,6,25,1,0
2001,1,30,23,31,13,30,-6.5,34,79,14,13,0,1
2001,1,31,13,24,21,31,-10,45,72,0,21,0,0
2001,1,5,31,20,16,5,-7,43.5,62,12,5,1,1
2001,2,1,26,30,24,24,-6,50,58,13,24,0,1
2001,2,2,17,10,31,31,-3,43.5,61,9,2,0,0
2001,2,3,21,10,25,25,-7,33.5,66,6,3,0,0
2001,2,6,24,14,19,19,-1.5,33,63,9,6,0,1
2001,2,8,17,38,5,5,-8.5,45,91,6,5,1,1
2001,2,10,3,13,16,10,-1.5,39,64,14,16,0,0
2001,2,11,42,26,4,11,-10,44.5,72,0,11,1,1
2001,2,12,21,32,9,9,-3.5,34,76,7,9,1,1
2001,2,13,18,15,23,13,-1.5,40,83,9,13,1,0
2001,2,15,24,16,21,15,-3.5,41,72,0,15,1,0
2001,2,17,13,6,30,17,-2,36,78,8,17,1,0
2001,2,22,3,10,18,18,-1.5,38.5,68,7,18,1,0
2001,2,27,3,27,14,14,-2.5,37,63,3,14,1,0
2001,2,20,37,0,32,20,-8.5,41,46,18,20,1,0
2001,3,4,3,20,28,28,-3,36,53,6,28,1,0
2001,3,5,13,20,25,5,-4.5,41,62,11,25,0,0
2001,3,8,14,34,15,15,-3,42,92,15,15,1,1
2001,3,9,28,14,3,9,-6.5,39,66,6,9,1,1
2001,3,14,40,18,12,14,-13.5,34.5,55,19,14,1,1
2001,3,16,21,13,26,16,-3,37,54,20,16,1,0
2001,3,17,14,23,6,17,-8.5,35.5,67,19,6,0,1
2001,3,21,7,28,20,20,-3.5,41,57,11,20,1,0
2001,3,22,44,13,11,11,-11.5,45,55,22,22,0,1
2001,3,23,38,14,27,23,-10.5,39,66,8,23,1,1
2001,3,24,42,10,13,24,-6,44,72,0,24,1,1
2001,3,31,20,16,7,7,-2.5,39,72,0,31,0,0
2001,3,32,13,45,10,10,-3,35.5,57,17,10,1,1
2001,3,18,17,19,1,18,-3,44.5,54,17,1,0,0
2001,4,1,24,14,21,1,-6.5,45,59,9,1,1,0
2001,4,4,36,42,18,18,-4.5,36,42,16,18,1,1
2001,4,5,20,6,10,5,-10,48,61,13,5,1,0
2001,4,6,20,16,9,9,-3,35,44,14,6,0,1
2001,4,7,14,10,20,7,-3,36.5,81,8,7,1,0
2001,4,13,30,10,22,13,-9.5,35,82,7,13,1,1
2001,4,14,20,21,8,14,-14.5,41,52,16,8,0,0
2001,4,15,3,31,2,15,-3.5,39.5,72,0,2,0,0
2001,4,16,23,9,32,16,-14,36,54,17,16,0,0
2001,4,23,28,21,12,23,-18,41.5,58,8,23,0,1
2001,4,25,26,7,30,25,-3.5,33.5,48,14,25,1,0
2001,4,26,28,15,31,26,-3.5,44,72,0,26,1,0
2001,4,27,24,15,17,17,-3.5,35,52,8,27,0,1
2001,4,28,16,7,3,28,-5,35.5,42,13,28,1,0
2001,4,19,0,35,24,24,-12.5,48.5,72,0,24,1,0
2001,5,2,20,13,8,2,-7,39.5,54,11,2,0,0
2001,5,3,24,14,6,3,-1.5,35,62,19,3,1,1
2001,5,10,17,20,28,10,-2.5,36,53,14,28,0,1
2001,5,11,18,23,23,11,-3.5,52,72,0,23,0,0
2001,5,15,31,37,1,1,-3,43.5,72,0,1,1,1
2001,5,18,21,17,13,13,-3,38,62,11,18,0,0
2001,5,20,31,23,25,0,0,34,53,12,20,0,1
2001,5,21,25,27,26,26,-5,39.5,70,15,26,0,1
2001,5,22,29,26,9,9,-3,36,54,10,22,0,1
2001,5,24,15,14,16,24,-10.5,45,72,0,24,0,0
2001,5,27,34,21,5,5,-6,44,53,12,27,0,1
2001,5,30,31,28,7,30,-3,33,66,12,30,0,1
2001,5,31,31,26,19,31,-10,44,72,0,31,0,1
2001,5,12,9,7,32,12,-3,37,65,16,12,0,0
2001,6,17,10,13,4,17,-9,38.5,62,15,4,0,0
2001,6,3,0,24,2,3,-1,36,60,8,2,0,0
2001,6,6,24,14,25,25,-7.5,33,60,15,6,0,1
2001,6,7,10,17,28,7,-5,33.5,77,8,28,0,0
2001,6,8,24,16,10,10,-2,41,79,7,8,0,0
2001,6,9,27,10,5,5,-2.5,43.5,64,6,9,0,0
2001,6,11,17,38,22,11,-10.5,48,72,0,22,0,1
2001,6,18,14,34,24,24,-7,46.5,64,10,24,1,1
2001,6,19,24,27,30,30,-5.5,38.5,72,0,30,0,1
2001,6,26,13,20,15,26,-8,42,72,0,15,0,0
2001,6,31,35,13,20,20,-3,47.5,72,0,31,0,1
2001,6,32,17,14,21,21,-3.5,36,62,9,32,0,0
2001,6,16,9,10,14,16,-3,35.5,65,11,14,0,0
2001,7,10,28,35,11,11,-3,47.5,48,16,11,1,1
2001,7,2,37,31,1,2,-2,39,40,12,2,1,1
2001,7,5,31,20,22,5,-7,43,62,14,5,1,1
2001,7,7,41,14,31,7,-3,38.5,59,11,7,1,1
2001,7,9,27,24,4,9,-7.5,39,65,7,9,0,1
2001,7,12,17,3,8,8,-3,38,58,12,12,0,0
2001,7,14,10,20,23,14,-1,39,46,15,23,0,0
2001,7,19,27,31,3,19,-3,39.5,72,0,3,0,1
2001,7,21,12,13,18,18,-2.5,39,40,8,18,0,0
2001,7,24,31,34,26,24,-12,48.5,72,0,26,0,1
2001,7,25,18,17,17,25,-7.5,33,44,10,25,0,1
2001,7,27,20,24,13,13,-2.5,36.5,40,5,13,1,1
2001,7,32,35,21,16,16,-7.5,33.5,46,15,32,0,1
2001,7,28,34,7,30,28,-3,36,41,6,28,1,1
2001,8,1,21,13,19,1,-8.5,47,56,13,1,0,0
2001,8,2,27,21,6,2,-4.5,34,53,8,2,1,1
2001,8,4,14,30,11,11,-3,44.5,48,14,11,1,0
2001,8,8,7,21,14,14,-7,39.5,83,12,14,1,0
2001,8,9,20,25,10,9,-5.5,41,65,10,10,0,1
2001,8,13,23,6,21,13,-10,34.5,77,17,13,1,0
2001,8,15,10,24,22,15,-3,42.5,72,0,22,0,0
2001,8,16,27,24,12,16,-10.5,35.5,56,10,16,0,1
2001,8,20,21,20,7,20,-5,37,46,10,20,0,1
2001,8,26,9,16,18,26,-6.5,42.5,72,0,18,0,0
2001,8,28,10,13,25,28,-2,33,50,13,25,0,0
2001,8,30,28,24,17,30,-3,37.5,58,7,30,1,1
2001,8,32,27,14,27,27,-2.5,37,58,9,32,0,1
2001,8,23,38,28,5,23,-5.5,45.5,56,8,23,1,1
2001,9,1,28,27,26,1,-3,45,62,13,1,0,1
2001,9,2,12,20,20,20,-2.5,37.5,44,10,20,1,0
2001,9,5,26,16,9,5,-5.5,45,44,10,5,1,0
2001,9,6,12,15,28,28,-3,33,44,14,28,0,0
2001,9,8,10,17,16,16,-5.5,37.5,73,6,16,1,0
2001,9,11,24,27,13,11,-3,44,72,0,13,0,1
2001,9,14,48,17,31,14,-4.5,41,50,16,14,1,1
2001,9,15,20,13,12,15,-6,37,72,0,15,1,0
2001,9,17,30,13,3,17,-4,39.5,63,5,17,1,1
2001,9,18,27,7,10,18,-4.5,40.5,50,16,18,1,0
2001,9,19,17,20,7,7,-5,40,72,0,7,0,0
2001,9,22,21,11,4,22,-6,40,44,15,22,1,0
2001,9,24,48,14,21,24,-18,47,72,0,24,1,1
2001,9,27,34,27,23,23,-6,43.5,49,5,27,0,1
2001,9,30,10,16,25,25,-1.5,35,50,8,25,1,0
2001,10,3,7,20,30,3,-1.5,39.5,54,5,30,0,0
2001,10,4,20,23,27,27,-3.5,39,45,10,27,0,1
2001,10,5,10,17,32,5,-8.5,43,42,15,32,0,0
2001,10,7,24,27,2,7,-5,35,72,7,2,0,1
2001,10,8,45,38,19,8,-2,39.5,70,6,8,1,1
2001,10,12,3,36,14,14,-7,37,66,11,14,1,1
2001,10,13,0,24,18,13,-5.5,37.5,75,11,18,0,0
2001,10,20,20,23,15,20,-10,39.5,54,11,15,0,1
2001,10,21,22,25,1,1,-7,43,55,5,1,0,1
2001,10,22,17,24,24,24,-8.5,46.5,44,11,24,0,0
2001,10,23,34,24,9,23,-9,45,54,7,23,1,1
2001,10,25,17,27,6,25,-8,33,43,4,6,0,1
2001,10,26,34,20,11,26,-5.5,47.5,72,0,26,1,1
2001,10,28,20,7,17,28,-5.5,36,41,4,28,1,0
2001,10,31,28,16,16,31,-2,44,72,0,31,1,0
2001,11,12,24,26,5,5,-7,40.5,56,15,5,0,1
2001,11,19,27,29,20,20,-7,47,72,0,20,0,1
2001,11,4,27,34,13,13,-5,36,61,23,13,1,1
2001,11,6,18,0,3,6,-6,35.5,59,20,6,1,0
2001,11,9,17,20,8,9,-7,44,60,13,8,0,0
2001,11,10,19,7,27,10,-1.5,41,46,16,10,1,0
2001,11,11,21,40,1,11,-2.5,52.5,72,0,1,0,1
2001,11,14,3,13,32,14,-8,37.5,64,15,32,0,0
2001,11,16,10,28,23,23,-2.5,39,62,14,23,1,0
2001,11,17,21,24,25,25,-3,34,72,8,25,0,1
2001,11,21,7,10,15,15,-3,40,67,12,15,0,0
2001,11,22,34,17,26,0,0,42,52,11,22,0,1
2001,11,30,24,34,28,30,-2,34.5,59,8,28,0,1
2001,11,31,6,13,2,31,-3,45,72,0,2,0,0
2001,11,24,17,24,7,24,-9.5,46,72,0,7,0,0
2001,12,10,10,23,14,14,-3,37,31,9,14,1,0
2001,12,1,35,0,4,1,-8.5,44.5,55,24,1,1,0
2001,12,2,13,10,19,2,-7,38,37,8,2,0,0
2001,12,3,13,16,7,7,-5,35,42,4,7,0,0
2001,12,6,15,31,30,6,-1.5,35.5,43,7,30,0,1
2001,12,13,21,10,5,13,-3,39.5,74,7,13,1,0
2001,12,15,6,35,24,24,-8,47,72,0,24,1,0
2001,12,18,16,17,22,18,-3,38,53,11,22,0,0
2001,12,23,31,34,8,23,-13,44,54,23,8,0,1
2001,12,25,39,27,11,25,-7,43,50,7,25,1,1
2001,12,26,27,23,21,26,-10,41,72,0,26,0,1
2001,12,27,13,10,9,27,-3,43,42,19,27,0,0
2001,12,28,21,16,31,28,-7,41,45,5,28,0,0
