schedule_date,schedule_season,schedule_week,team_home,home_id,score_home,score_away,team_away,away_id,team_favorite,favorite_id,spread_favorite,over_under_line,winner,cover,over,stadium,weather_temperature,weather_wind_mph,weather_detail
12/03/2000,2000,14,Washington,32,7,9,Giants,16,Washington,32,-6,38,16,0,0,FedEx Field,29,14,
12/04/2000,2000,14,Patriots,22,30,24,Chiefs,10,Patriots,22,-1,41,22,1,1,Foxboro Stadium,34,10,
12/10/2000,2000,15,49ers,1,27,31,Saints,26,49ers,1,-3,47.5,26,0,1,Candlestick Park,54,8,
12/10/2000,2000,15,Bears,2,24,17,Patriots,22,Bears,2,-2,36.5,2,1,1,Soldier Field,31,10,
12/10/2000,2000,15,Broncos,5,31,24,Seahawks,27,Broncos,5,-10,48,5,0,1,Mile High Stadium,28,13,
12/10/2000,2000,15,Browns,6,24,35,Eagles,14,Eagles,14,-14,35.5,14,0,1,FirstEnergy Stadium,29,10,
12/10/2000,2000,15,Chiefs,10,15,14,Panthers,21,Chiefs,10,-2.5,42,10,0,0,Arrowhead Stadium,34,14,
12/10/2000,2000,15,Cowboys,12,32,13,Washington,32,Washington,32,-6,39,12,0,1,Texas Stadium,54,12,
12/10/2000,2000,15,Dolphins,13,13,16,Buccaneers,7,Dolphins,13,-2.5,34.5,7,0,0,Sun Life Stadium,73,12,
12/10/2000,2000,15,Giants,16,30,10,Steelers,28,Giants,16,-3.5,35.5,16,1,1,Giants Stadium,32,9,
12/10/2000,2000,15,Jaguars,17,44,10,Cardinals,8,Jaguars,17,-15,42,17,1,1,EverBank Field,56,8,
12/10/2000,2000,15,Packers,20,26,13,Lions,19,Packers,20,-3.5,41,20,1,0,Lambeau Field,24,11,
12/10/2000,2000,15,Raiders,23,31,7,Jets,18,Raiders,23,-3.5,47,23,1,0,Oakland Coliseum,54,6,
